                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3712,                 2.7241,                 1.3939,                0.67475,                0.36682,                0.35111,                0.22045,                 1.1767,                 1.5563,                 1.2384,               0.003322,               0.003322,               0.003322
                      2,                 1.1424,                 1.5227,                 1.2311,                0.75379,                0.39033,                0.46707,                0.30346,                 1.0927,                 1.1684,                 1.1824,              0.0066487,              0.0066487,              0.0066487
                      3,                 1.1694,                    1.3,                 1.2576,                 0.6799,                0.30923,                0.36008,                0.20385,                 1.3581,                 1.6259,                  1.421,              0.0099689,              0.0099689,              0.0099689
                      4,                 1.2027,                 1.2061,                 1.2755,                0.48429,                0.51758,                0.46926,                 0.3071,                 1.1463,                 1.2088,                 1.2364,              0.0099703,              0.0099703,              0.0099703
                      5,                  1.151,                 1.1031,                 1.2495,                0.52998,                  0.524,                0.58288,                 0.3631,                 1.1484,                 1.1742,                 1.2551,              0.0099604,              0.0099604,              0.0099604
                      6,                 1.1075,                 1.0386,                 1.2272,                0.60583,                0.62652,                0.65923,                0.41434,                 1.0565,                 1.0007,                 1.1809,              0.0099505,              0.0099505,              0.0099505
                      7,                 1.0829,                 1.0026,                 1.2121,                0.58765,                0.54261,                0.56808,                0.37044,                 1.0409,                0.94852,                 1.1812,              0.0099406,              0.0099406,              0.0099406
                      8,                 1.0652,                0.96779,                 1.1998,                0.63421,                 0.6008,                0.65817,                0.42835,                0.99546,                0.87794,                 1.1407,              0.0099307,              0.0099307,              0.0099307
                      9,                 1.0394,                0.93355,                 1.1823,                0.62847,                0.64619,                0.70374,                0.46621,                0.95231,                0.82022,                 1.1033,              0.0099208,              0.0099208,              0.0099208
                     10,                 1.0223,                0.90993,                 1.1753,                0.68227,                 0.6937,                0.73382,                0.49045,                0.99616,                0.83583,                 1.1268,              0.0099109,              0.0099109,              0.0099109
                     11,                 1.0125,                0.89894,                 1.1696,                0.67611,                0.44219,                0.51241,                0.33583,                 1.0643,                0.92074,                 1.1744,               0.009901,               0.009901,               0.009901
                     12,                0.99928,                0.88201,                 1.1633,                 0.6437,                0.61478,                0.67307,                 0.4487,                0.92311,                 0.8023,                 1.0951,              0.0098911,              0.0098911,              0.0098911
                     13,                0.99541,                 0.8784,                  1.158,                0.63632,                0.64244,                0.69646,                0.47308,                 0.9176,                0.76425,                 1.0989,              0.0098812,              0.0098812,              0.0098812
                     14,                0.97753,                0.85338,                 1.1505,                 0.7437,                0.50595,                 0.6206,                0.41935,                0.99031,                0.84348,                 1.1456,              0.0098713,              0.0098713,              0.0098713
